Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (G),Magnetometer Y (G),Magnetometer Z (G),Altitude,Obstacle Distance
0,-0.8015,0.2901,-0.1985,0.132080,-0.005371,0.954590,-0.0613,0.0149,-0.0322,34.150000000000006,0.33
0.0034,-0.8931,0.9618,-0.4885,0.135010,-0.034424,0.973145,-0.0613,0.0149,-0.0322,34.74000000000001,0.32
0.0068,-0.8244,0.3130,-0.8855,0.144531,-0.038330,0.922607,-0.0613,0.0149,-0.0322,34.56999999999999,0.33
0.0102,-1.1527,0.3969,-0.8244,0.135986,-0.054199,0.964600,-0.0613,0.0149,-0.0322,34.31999999999999,0.33
0.0136,-1.3664,0.1221,-0.4046,0.128418,-0.048584,0.945068,-0.0613,0.0149,-0.0322,34.81999999999999,0.33
0.017,-1.7557,-0.0992,0.0763,0.117188,-0.057617,0.981201,-0.0613,0.0149,-0.0322,34.81999999999999,0.33
0.0204,-1.8626,-0.4733,0.9466,0.088867,-0.083740,1.016602,-0.0613,0.0149,-0.0322,34.49000000000001,0.33
0.0238,-0.4809,-1.7405,1.7939,0.159912,-0.071777,1.000488,-0.0613,0.0149,-0.0322,34.400000000000006,0.33
0.0272,0.0611,-1.0076,1.4733,0.189941,-0.071289,1.063232,-0.0613,0.0149,-0.0322,34.22999999999999,0.33
0.0306,0.8321,0.1221,-0.1985,0.217041,-0.052979,1.022705,-0.0613,0.0149,-0.0322,34.49000000000001,0.33
0.034,1.0000,0.7786,-1.1298,0.214600,-0.052734,0.950195,-0.0613,0.0149,-0.0322,34.49000000000001,0.33
0.0374,0.1527,0.8931,-1.2824,0.134521,-0.073242,0.934570,-0.0613,0.0149,-0.0322,34.650000000000006,0.33
0.0408,0.2443,0.4122,-0.9237,0.130127,-0.018799,0.940674,-0.0613,0.0149,-0.0322,34.650000000000006,0.33
0.0442,0.2290,0.1527,-0.4275,0.119873,-0.029541,0.966797,-0.0613,0.0149,-0.0322,34.74000000000001,0.33
0.0476,0.1985,0.2824,-0.4962,0.151611,-0.030029,0.966553,-0.0613,0.0149,-0.0322,34.650000000000006,0.33
0.051,0.2214,0.7099,-0.5725,0.140137,-0.047119,0.974854,-0.0636,0.0137,-0.0293,34.400000000000006,0.33
0.0544,-0.0229,0.4733,-0.1908,0.098877,-0.043213,0.945068,-0.0636,0.0137,-0.0293,34.56999999999999,0.33
0.0578,-0.0305,-0.3893,0.4580,0.118652,-0.048096,0.932129,-0.0636,0.0137,-0.0293,34.400000000000006,0.33
0.0612,-0.3740,-1.0534,0.4885,0.155762,-0.045410,0.939209,-0.0636,0.0137,-0.0293,34.99000000000001,0.33
0.0646,-0.5267,-0.3664,0.0305,0.179932,-0.032959,0.978271,-0.0636,0.0137,-0.0293,34.74000000000001,0.33
0.068,-0.3969,0.1756,-0.4351,0.185791,-0.032227,0.983887,-0.0636,0.0137,-0.0293,34.74000000000001,0.33
0.0714,-0.1679,0.0076,-0.3130,0.185791,-0.027588,0.988770,-0.0636,0.0137,-0.0293,34.400000000000006,0.33
0.0748,-0.5954,0.2901,-1.0229,0.158447,-0.020020,0.953125,-0.0636,0.0137,-0.0293,34.400000000000006,0.33
0.0782,-0.0611,-0.4580,-0.5191,0.175781,-0.034912,0.979736,-0.0636,0.0137,-0.0293,34.56999999999999,0.33
0.0816,-0.2901,0.0534,-0.7481,0.146484,-0.035889,0.993652,-0.0636,0.0137,-0.0293,34.31999999999999,0.33
0.085,0.2672,-0.1374,-0.2595,0.125977,-0.041504,0.979248,-0.0636,0.0137,-0.0293,34.74000000000001,0.33
0.0884,0.5115,0.2748,-0.5649,0.203369,0.010254,0.917480,-0.0636,0.0137,-0.0293,34.56999999999999,0.33
0.0918,-0.8779,0.7939,-1.2214,0.118408,-0.020020,0.899658,-0.0636,0.0137,-0.0293,34.74000000000001,0.33
0.0952,-0.6183,-0.5038,0.1908,0.047119,-0.051025,0.996826,-0.0636,0.0137,-0.0293,34.56999999999999,0.33
0.0986,0.1527,-0.9237,1.2672,0.133545,-0.050537,1.009766,-0.0636,0.0137,-0.0293,34.49000000000001,0.33
0.102,0.3206,-0.2824,1.3206,0.181152,-0.038330,0.970459,-0.0636,0.0137,-0.0293,34.31999999999999,0.33
0.1054,0.1832,0.0611,0.5344,0.218994,-0.004150,0.952637,-0.0636,0.0137,-0.0293,34.400000000000006,0.33
0.1088,-0.3435,1.1679,-0.2061,0.168457,-0.025146,0.988281,-0.0636,0.0137,-0.0293,34.49000000000001,0.33
0.1122,0.4580,0.6489,0.2366,0.166016,-0.018311,0.965332,-0.0636,0.0137,-0.0293,34.650000000000006,0.33
0.1156,0.5420,0.6260,0.5954,0.168457,-0.027344,0.987305,-0.0636,0.0137,-0.0293,34.56999999999999,0.33
0.119,0.2595,0.9389,0.1450,0.163330,0.003906,0.935547,-0.0636,0.0137,-0.0293,34.74000000000001,0.33
0.1224,0.0687,0.1221,0.1679,0.159912,-0.010742,0.938232,-0.0636,0.0137,-0.0293,35.25,0.33
0.1258,0.1374,0.2519,0.3664,0.163574,-0.030518,0.976807,-0.0617,0.0104,-0.0324,34.74000000000001,0.33
0.1292,-0.2366,0.2366,0.1832,0.153076,-0.011475,0.918945,-0.0617,0.0104,-0.0324,34.650000000000006,0.33
0.1326,-0.3893,0.1374,0.2748,0.145020,-0.021729,0.958740,-0.0617,0.0104,-0.0324,34.74000000000001,0.33
0.136,-0.0611,0.3893,0.1985,0.179688,-0.005859,0.983154,-0.0617,0.0104,-0.0324,34.99000000000001,0.33
0.1394,-0.3740,0.6336,-0.1603,0.157715,-0.004395,0.948730,-0.0617,0.0104,-0.0324,34.650000000000006,0.33
0.1428,-0.7710,0.5649,-0.5267,0.169434,0.000000,0.945068,-0.0617,0.0104,-0.0324,34.74000000000001,0.33
0.1462,-0.5344,0.3588,0.2137,0.111572,-0.008301,1.039062,-0.0617,0.0104,-0.0324,34.31999999999999,0.33
0.1496,-0.0534,0.1298,0.2443,0.183350,0.017334,0.960205,-0.0617,0.0104,-0.0324,34.74000000000001,0.33
0.153,-0.3130,0.1145,-0.5038,0.134277,0.006104,0.942627,-0.0617,0.0104,-0.0324,34.91,0.33
0.1564,-0.5344,0.1832,-0.3817,0.121338,-0.013184,0.962891,-0.0617,0.0104,-0.0324,34.74000000000001,0.33
0.1598,-0.5496,-0.0382,0.0153,0.121094,-0.009033,0.983398,-0.0617,0.0104,-0.0324,34.74000000000001,0.33
0.1632,-0.3893,-0.1527,0.3359,0.126221,-0.007080,0.969238,-0.0617,0.0104,-0.0324,35.25,0.33
0.1666,-0.3206,0.2595,0.2901,0.138184,-0.024170,0.971680,-0.0617,0.0104,-0.0324,35.33000000000001,0.33
0.17,-0.2519,0.0153,0.0611,0.161621,-0.024414,0.980957,-0.0617,0.0104,-0.0324,34.56999999999999,0.33
0.1734,-0.3511,0.9008,0.0763,0.138916,-0.022949,0.967773,-0.0617,0.0104,-0.0324,34.74000000000001,0.33
0.1768,-0.0076,0.4580,0.5420,0.105469,-0.022217,0.998535,-0.0617,0.0104,-0.0324,34.400000000000006,0.33
0.1802,0.2443,0.0153,0.5802,0.158203,-0.006104,0.998291,-0.0617,0.0104,-0.0324,34.150000000000006,0.33
0.1836,0.5802,0.7481,0.2672,0.164062,-0.020508,0.984375,-0.0617,0.0104,-0.0324,34.400000000000006,0.33
0.187,0.4275,0.4198,0.5344,0.134521,-0.022705,0.963379,-0.0617,0.0104,-0.0324,34.56999999999999,0.33
0.1904,-0.0382,0.0763,0.2595,0.146240,0.009521,0.936035,-0.0617,0.0104,-0.0324,34.150000000000006,0.33
0.1938,0.4504,0.1756,0.2901,0.161377,0.016602,0.973877,-0.0617,0.0104,-0.0324,34.74000000000001,0.33
0.1972,-0.0992,0.2595,-0.3053,0.139893,0.013916,0.953613,-0.0617,0.0104,-0.0324,34.56999999999999,0.33
0.2006,-0.3664,0.4351,-0.2748,0.118652,0.007080,0.947998,-0.0617,0.0104,-0.0324,34.400000000000006,0.33
0.204,-0.4046,-0.2214,-0.0534,0.116699,0.008545,0.980469,-0.0614,0.0123,-0.0316,34.400000000000006,0.33
